Date,Open,High,Low,Close,Adj Close,Volume
10/19/2017,34.051231,34.516129,34.003796,34.383301,29.105402,20858028
10/20/2017,34.440228,34.554081,34.184059,34.554081,29.249966,18447319
10/23/2017,34.440228,34.895638,34.440228,34.535103,29.233908,15978008
10/24/2017,34.582542,34.658443,34.146111,34.411766,29.129501,15826126
10/25/2017,34.345352,34.487667,34.079697,34.3074,29.041161,17523488
10/26/2017,34.240986,34.364326,33.776093,33.908916,28.703835,18374277
10/27/2017,33.709679,33.918407,33.586338,33.776093,28.591408,15746865
10/30/2017,33.614799,33.652752,33.225807,33.349148,28.229996,26679586
10/31/2017,33.254269,33.529411,32.35294,33.263756,28.157713,24794085
11/1/2017,33.21632,33.899429,33.111954,33.45351,28.31834,16557497
11/2/2017,33.462997,33.690701,33.235294,33.643265,28.478964,13880021
11/3/2017,33.633778,33.73814,33.510437,33.728653,28.55125,9358255
11/6/2017,33.766602,33.78558,33.320683,33.510437,28.366524,11200542
11/7/2017,33.491463,33.605312,33.434536,33.548386,28.398647,11480906
11/8/2017,33.557877,33.576851,33.235294,33.529411,28.382591,14302148
11/9/2017,33.28273,33.444023,33.055027,33.396584,28.528477,14088713
11/10/2017,33.301708,33.387096,33.017078,33.377609,28.512262,15858589
11/13/2017,33.415562,33.662239,33.339657,33.491463,28.609524,25072657
11/14/2017,33.444023,33.870968,33.415562,33.567364,28.674362,17278538
11/15/2017,33.472485,33.681213,33.425049,33.548386,28.658144,13646138
11/16/2017,33.529411,33.757114,33.444023,33.73814,28.82024,13625901
11/17/2017,33.557877,33.671726,33.368122,33.557877,28.666256,15649265
11/20/2017,33.567364,33.633778,33.462997,33.538898,28.650045,12455540
11/21/2017,33.586338,33.899429,33.567364,33.719166,28.804033,13333100
11/22/2017,33.633778,33.681213,33.510437,33.614799,28.714878,11122967
11/24/2017,33.690701,33.73814,33.557877,33.671726,28.76351,6742754
11/27/2017,33.700191,33.823528,33.567364,33.671726,28.76351,10848611
11/28/2017,33.766602,34.051231,33.700191,34.013283,29.055275,13687033
11/29/2017,34.098671,34.544594,34.041744,34.354839,29.347042,16122827
11/30/2017,34.354839,34.611008,34.231499,34.402279,29.387571,24063663
12/1/2017,34.43074,34.629982,34.165085,34.487667,29.460514,19588485
12/4/2017,34.620495,34.743832,34.203037,34.212524,29.225475,14847487
12/5/2017,34.079697,34.335861,33.690701,33.804554,28.87697,23525912
12/6/2017,33.757114,34.041744,33.690701,33.73814,28.82024,18317677
12/7/2017,33.73814,33.814041,33.349148,33.681213,28.771614,16661421
12/8/2017,33.510437,33.937382,33.510437,33.908916,28.966125,15705759
12/11/2017,34.193546,34.402279,33.861481,34.354839,29.347042,15138497
12/12/2017,34.497154,34.933586,34.392788,34.705883,29.646923,23700139
12/13/2017,34.696396,34.914612,34.601517,34.76281,29.695545,16639709
12/14/2017,34.848198,35,34.478176,34.59203,29.549665,15585393
12/15/2017,34.895638,35.322582,34.829224,35.294117,30.149403,39820015
12/18/2017,35.313091,35.436432,35.161289,35.227703,30.092674,17670415
12/19/2017,35.294117,35.322582,34.990513,35.04744,29.938694,14817659
12/20/2017,35.094875,35.23719,34.554081,34.59203,29.549665,15914557
12/21/2017,34.667931,34.724857,34.335861,34.383301,29.371359,15566948
12/22/2017,34.411766,34.516129,34.203037,34.288425,29.290312,9063557
12/26/2017,34.240986,34.411766,34.108158,34.354839,29.347042,11480590
12/27/2017,34.449715,34.59203,34.373814,34.468693,29.444302,8768964
12/28/2017,34.497154,34.658443,34.392788,34.506641,29.476719,6939431
12/29/2017,34.373814,34.620495,34.364326,34.364326,29.355146,12038261
1/2/2018,34.516129,34.648956,34.383301,34.573055,29.533453,17059833
1/3/2018,34.582542,34.886147,34.373814,34.829224,29.752281,14183151
1/4/2018,34.829224,35.028461,34.724857,34.905125,29.81712,13046517
1/5/2018,34.933586,34.990513,34.734344,34.971539,29.873854,13167517
1/8/2018,34.838711,34.914612,34.468693,34.582542,29.541559,19964341
1/9/2018,34.573055,34.76281,34.497154,34.544594,29.509146,16876226
1/10/2018,34.478176,34.734344,34.449715,34.601517,29.557758,18755825
